Phenotype,Source
41202#H333#Retinal breaks without detachment,Binary
41202#H334#Traction detachment of retina,Binary
41202#H335#Other retinal detachments,Binary
41202#H34#Retinal vascular occlusions,Binary
41202#H341#Central retinal artery occlusion,Binary
41202#H342#Other retinal artery occlusions,Binary
41202#H348#Other retinal vascular occlusions,Binary
41202#H35#Other retinal disorders,Binary
41202#H350#Background retinopathy and retinal vascular changes,Binary
41202#H352#Other proliferative retinopathy,Binary
41202#H353#Degeneration of macula and posterior pole,Binary
41202#H354#Peripheral retinal degeneration,Binary
41202#H356#Retinal haemorrhage,Binary
41202#H357#Separation of retinal layers,Binary
41202#H358#Other specified retinal disorders,Binary
41202#H359#Retinal disorder unspecified,Binary
41202#H36#Retinal disorders in diseases classified elsewhere,Binary
41202#H360#Diabetic retinopathy,Binary
41202#H40#Glaucoma,Binary
41202#H400#Glaucoma suspect,Binary
41202#H401#Primary open-angle glaucoma,Binary
41202#H402#Primary angle-closure glaucoma,Binary
41202#H404#Glaucoma secondary to eye inflammation,Binary
41202#H405#Glaucoma secondary to other eye disorders,Binary
41202#H408#Other glaucoma,Binary
41202#H409#Glaucoma unspecified,Binary
41202#H43#Disorders of vitreous body,Binary
41202#H431#Vitreous haemorrhage,Binary
41202#H433#Other vitreous opacities,Binary
41202#H438#Other disorders of vitreous body,Binary
41202#H439#Disorder of vitreous body unspecified,Binary
41202#H44#Disorders of globe,Binary
41202#H440#Purulent endophthalmitis,Binary
41202#H441#Other endophthalmitis,Binary
41202#H46#Optic neuritis,Binary
41202#H47#Other disorders of optic [2nd] nerve and visual pathways,Binary
41202#H470#Disorders of optic nerve not elsewhere classified,Binary
41202#H471#Papilloedema unspecified,Binary
41202#H49#Paralytic strabismus,Binary
41202#H490#Third [oculomotor] nerve palsy,Binary
41202#H491#Fourth [trochlear] nerve palsy,Binary
41202#H492#Sixth [abducent] nerve palsy,Binary
41202#H50#Other strabismus,Binary
41202#H500#Convergent concomitant strabismus,Binary
41202#H501#Divergent concomitant strabismus,Binary
41202#H502#Vertical strabismus,Binary
41202#H505#Heterophoria,Binary
41202#H509#Strabismus unspecified,Binary
41202#H52#Disorders of refraction and accommodation,Binary
41202#H520#Hypermetropia,Binary
41202#H521#Myopia,Binary
41202#H522#Astigmatism,Binary
41202#H527#Disorder of refraction unspecified,Binary
41202#H53#Visual disturbances,Binary
41202#H531#Subjective visual disturbances,Binary
41202#H532#Diplopia,Binary
41202#H534#Visual field defects,Binary
41202#H538#Other visual disturbances,Binary
41202#H539#Visual disturbance unspecified,Binary
41202#H54#Visual impairment including blindness (binocular or monocular),Binary
41202#H547#H547 Unspecified visual loss,Binary
41202#H57#Other disorders of eye and adnexa,Binary
41202#H571#Ocular pain,Binary
41202#H578#Other specified disorders of eye and adnexa,Binary
41202#H579#Disorder of eye and adnexa unspecified,Binary
41202#H59#Postprocedural disorders of eye and adnexa not elsewhere classified,Binary
41202#H598#Other postprocedural disorders of eye and adnexa,Binary
41202#H599#Postprocedural disorder of eye and adnexa unspecified,Binary
41202#H60#Otitis externa,Binary
41202#H601#Cellulitis of external ear,Binary
41202#H602#Malignant otitis externa,Binary
41202#H604#Cholesteatoma of external ear,Binary
41202#H608#Other otitis externa,Binary
41202#H609#Otitis externa unspecified,Binary
41202#H61#Other disorders of external ear,Binary
41202#H610#Perichondritis of external ear,Binary
41202#H611#Noninfective disorders of pinna,Binary
41202#H612#Impacted cerumen,Binary
41202#H613#Acquired stenosis of external ear canal,Binary
41202#H618#Other specified disorders of external ear,Binary
41202#H619#Disorder of external ear unspecified,Binary
41202#H65#Nonsuppurative otitis media,Binary
41202#H652#Chronic serous otitis media,Binary
41202#H653#Chronic mucoid otitis media,Binary
41202#H654#Other chronic nonsuppurative otitis media,Binary
41202#H659#Nonsuppurative otitis media unspecified,Binary
41202#H66#Suppurative and unspecified otitis media,Binary
41202#H663#Other chronic suppurative otitis media,Binary
41202#H669#Otitis media unspecified,Binary
41202#H69#Other disorders of Eustachian tube,Binary
41202#H698#Other specified disorders of Eustachian tube,Binary
41202#H699#Eustachian tube disorder unspecified,Binary
41202#H70#Mastoiditis and related conditions,Binary
41202#H709#Mastoiditis unspecified,Binary
41202#H71#Cholesteatoma of middle ear,Binary
41202#H72#Perforation of tympanic membrane,Binary
41202#H720#Central perforation of tympanic membrane,Binary
41202#H728#Other perforations of tympanic membrane,Binary
41202#H729#Perforation of tympanic membrane unspecified,Binary
41202#H73#Other disorders of tympanic membrane,Binary
41202#H738#Other specified disorders of tympanic membrane,Binary
41202#H74#Other disorders of middle ear and mastoid,Binary
41202#H740#Tympanosclerosis,Binary
41202#H743#Other acquired abnormalities of ear ossicles,Binary
41202#H744#Polyp of middle ear,Binary
41202#H748#Other specified disorders of middle ear and mastoid,Binary
41202#H749#Disorder of middle ear and mastoid unspecified,Binary
41202#H80#Otosclerosis,Binary
41202#H809#Otosclerosis unspecified,Binary
41202#H81#Disorders of vestibular function,Binary
41202#H811#Benign paroxysmal vertigo,Binary
41202#H812#Vestibular neuronitis,Binary
41202#H813#Other peripheral vertigo,Binary
41202#H818#Other disorders of vestibular function,Binary
41202#H819#Disorder of vestibular function unspecified,Binary
41202#H83#Other diseases of inner ear,Binary
41202#H830#Labyrinthitis,Binary
41202#H90#Conductive and sensorineural hearing loss,Binary
41202#H900#Conductive hearing loss bilateral,Binary
41202#H901#Conductive hearing loss unilateral with unrestricted hearing on the contralateral side,Binary
41202#H902#Conductive hearing loss unspecified,Binary
41202#H903#Sensorineural hearing loss bilateral,Binary
41202#H904#Sensorineural hearing loss unilateral with unrestricted hearing on the contralateral side,Binary
41202#H905#Sensorineural hearing loss unspecified,Binary
41202#H906#Mixed conductive and sensorineural hearing loss bilateral,Binary
41202#H908#Mixed conductive and sensorineural hearing loss unspecified,Binary
41202#H91#Other hearing loss,Binary
41202#H919#Hearing loss unspecified,Binary
41202#H92#Otalgia and effusion of ear,Binary
41202#H920#Otalgia,Binary
41202#H921#Otorrhoea,Binary
41202#H93#Other disorders of ear not elsewhere classified,Binary
41202#H931#Tinnitus,Binary
41202#H939#Disorder of ear unspecified,Binary
41202#I05#Rheumatic mitral valve diseases,Binary
41202#I050#Mitral stenosis,Binary
41202#I051#Rheumatic mitral insufficiency,Binary
41202#I052#Mitral stenosis with insufficiency,Binary
41202#I059#Mitral valve disease unspecified,Binary
41202#I07#Rheumatic tricuspid valve diseases,Binary
41202#I071#Tricuspid insufficiency,Binary
41202#I08#Multiple valve diseases,Binary
41202#I080#Disorders of both mitral and aortic valves,Binary
41202#I081#Disorders of both mitral and tricuspid valves,Binary
41202#I082#Disorders of both aortic and tricuspid valves,Binary
41202#I083#Combined disorders of mitral aortic and tricuspid valves,Binary
41202#I088#Other multiple valve diseases,Binary
41202#I10#Essential (primary) hypertension,Binary
41202#I11#Hypertensive heart disease,Binary
41202#I119#Hypertensive heart disease without (congestive) heart failure,Binary
41202#I12#Hypertensive renal disease,Binary
41202#I120#Hypertensive renal disease with renal failure,Binary
41202#I129#Hypertensive renal disease without renal failure,Binary
41202#I13#Hypertensive heart and renal disease,Binary
41202#I20#Angina pectoris,Binary
41202#I200#Unstable angina,Binary
41202#I201#Angina pectoris with documented spasm,Binary
41202#I208#Other forms of angina pectoris,Binary
41202#I209#Angina pectoris unspecified,Binary
41202#I21#Acute myocardial infarction,Binary
41202#I210#Acute transmural myocardial infarction of anterior wall,Binary
41202#I211#Acute transmural myocardial infarction of inferior wall,Binary
41202#I212#Acute transmural myocardial infarction of other sites,Binary
41202#I213#Acute transmural myocardial infarction of unspecified site,Binary
41202#I214#Acute subendocardial myocardial infarction,Binary
41202#I219#Acute myocardial infarction unspecified,Binary
41202#I22#Subsequent myocardial infarction,Binary
41202#I220#Subsequent myocardial infarction of anterior wall,Binary
41202#I221#Subsequent myocardial infarction of inferior wall,Binary
41202#I228#Subsequent myocardial infarction of other sites,Binary
41202#I229#Subsequent myocardial infarction of unspecified site,Binary
41202#I23#Certain current complications following acute myocardial infarction,Binary
41202#I238#Other current complications following acute myocardial infarction,Binary
41202#I24#Other acute ischaemic heart diseases,Binary
41202#I240#Coronary thrombosis not resulting in myocardial infarction,Binary
41202#I241#Dressler syndrome,Binary
41202#I248#Other forms of acute ischaemic heart disease,Binary
41202#I249#Acute ischaemic heart disease unspecified,Binary
41202#I25#Chronic ischaemic heart disease,Binary
41202#I250#Atherosclerotic cardiovascular disease so described,Binary
41202#I251#Atherosclerotic heart disease,Binary
41202#I252#Old myocardial infarction,Binary
41202#I253#Aneurysm of heart,Binary
41202#I255#Ischaemic cardiomyopathy,Binary
41202#I258#Other forms of chronic ischaemic heart disease,Binary
41202#I259#Chronic ischaemic heart disease unspecified,Binary
41202#I26#Pulmonary embolism,Binary
41202#I260#Pulmonary embolism with mention of acute cor pulmonale,Binary
41202#I269#Pulmonary embolism without mention of acute cor pulmonale,Binary
41202#I27#Other pulmonary heart diseases,Binary
41202#I270#Primary pulmonary hypertension,Binary
41202#I272#Other secondary pulmonary hypertension,Binary
41202#I279#Pulmonary heart disease unspecified,Binary
41202#I28#Other diseases of pulmonary vessels,Binary
41202#I30#Acute pericarditis,Binary
41202#I309#Acute pericarditis unspecified,Binary
41202#I31#Other diseases of pericardium,Binary
41202#I311#Chronic constrictive pericarditis,Binary
41202#I313#Pericardial effusion (noninflammatory),Binary
41202#I319#Disease of pericardium unspecified,Binary
41202#I33#Acute and subacute endocarditis,Binary
41202#I330#Acute and subacute infective endocarditis,Binary
41202#I34#Nonrheumatic mitral valve disorders,Binary
41202#I340#Mitral (valve) insufficiency,Binary
41202#I341#Mitral (valve) prolapse,Binary
41202#I35#Nonrheumatic aortic valve disorders,Binary
41202#I350#Aortic (valve) stenosis,Binary
41202#I351#Aortic (valve) insufficiency,Binary
41202#I352#Aortic (valve) stenosis with insufficiency,Binary
41202#I358#Other aortic valve disorders,Binary
41202#I359#Aortic valve disorder unspecified,Binary
41202#I38#Endocarditis valve unspecified,Binary
41202#I40#Acute myocarditis,Binary
41202#I42#Cardiomyopathy,Binary
41202#I420#Dilated cardiomyopathy,Binary
41202#I421#Obstructive hypertrophic cardiomyopathy,Binary
41202#I422#Other hypertrophic cardiomyopathy,Binary
41202#I426#Alcoholic cardiomyopathy,Binary
41202#I428#Other cardiomyopathies,Binary
41202#I429#Cardiomyopathy unspecified,Binary
41202#I44#Atrioventricular and left bundle-branch block,Binary
41202#I440#Atrioventricular block first degree,Binary
41202#I441#Atrioventricular block second degree,Binary
41202#I442#Atrioventricular block complete,Binary
41202#I443#Other and unspecified atrioventricular block,Binary
41202#I447#Left bundle-branch block unspecified,Binary
41202#I45#Other conduction disorders,Binary
41202#I451#Other and unspecified right bundle-branch block,Binary
41202#I452#Bifascicular block,Binary
41202#I453#Trifascicular block,Binary
41202#I455#Other specified heart block,Binary
41202#I456#Pre-excitation syndrome,Binary
41202#I459#Conduction disorder unspecified,Binary
41202#I46#Cardiac arrest,Binary
41202#I460#Cardiac arrest with successful resuscitation,Binary
41202#I469#Cardiac arrest unspecified,Binary
41202#I47#Paroxysmal tachycardia,Binary
41202#I470#Re-entry ventricular arrhythmia,Binary
41202#I471#Supraventricular tachycardia,Binary
41202#I472#Ventricular tachycardia,Binary
41202#I479#Paroxysmal tachycardia unspecified,Binary
41202#I48#Atrial fibrillation and flutter,Binary
41202#I480#Paroxysmal atrial fibrillation,Binary
41202#I481#Persistent atrial fibrillation,Binary
41202#I482#Chronic atrial fibrillation,Binary
41202#I483#Typical atrial flutter,Binary
41202#I484#Atypical atrial flutter,Binary
41202#I489#Atrial fibrillation and atrial flutter unspecified,Binary
41202#I49#Other cardiac arrhythmias,Binary
41202#I490#Ventricular fibrillation and flutter,Binary
41202#I491#Atrial premature depolarization,Binary
41202#I493#Ventricular premature depolarization,Binary
41202#I494#Other and unspecified premature depolarization,Binary
41202#I495#Sick sinus syndrome,Binary
41202#I498#Other specified cardiac arrhythmias,Binary
41202#I499#Cardiac arrhythmia unspecified,Binary
41202#I50#Heart failure,Binary
41202#I500#Congestive heart failure,Binary
41202#I501#Left ventricular failure,Binary
41202#I509#Heart failure unspecified,Binary
41202#I51#Complications and ill-defined descriptions of heart disease,Binary
41202#I514#Myocarditis unspecified,Binary
41202#I517#Cardiomegaly,Binary
41202#I518#Other ill-defined heart diseases,Binary
41202#I519#Heart disease unspecified,Binary
41202#I60#Subarachnoid haemorrhage,Binary
41202#I601#Subarachnoid haemorrhage from middle cerebral artery,Binary
41202#I602#Subarachnoid haemorrhage from anterior communicating artery,Binary
41202#I603#Subarachnoid haemorrhage from posterior communicating artery,Binary
41202#I604#Subarachnoid haemorrhage from basilar artery,Binary
41202#I606#Subarachnoid haemorrhage from other intracranial arteries,Binary
41202#I607#Subarachnoid haemorrhage from intracranial artery unspecified,Binary
41202#I608#Other subarachnoid haemorrhage,Binary
41202#I609#Subarachnoid haemorrhage unspecified,Binary
41202#I61#Intracerebral haemorrhage,Binary
41202#I610#Intracerebral haemorrhage in hemisphere subcortical,Binary
41202#I611#Intracerebral haemorrhage in hemisphere cortical,Binary
41202#I612#Intracerebral haemorrhage in hemisphere unspecified,Binary
41202#I613#Intracerebral haemorrhage in brain stem,Binary
41202#I614#Intracerebral haemorrhage in cerebellum,Binary
41202#I615#Intracerebral haemorrhage intraventricular,Binary
41202#I616#Intracerebral haemorrhage multiple localized,Binary
41202#I618#Other intracerebral haemorrhage,Binary
41202#I619#Intracerebral haemorrhage unspecified,Binary
41202#I62#Other nontraumatic intracranial haemorrhage,Binary
41202#I620#Subdural haemorrhage (acute)(nontraumatic),Binary
41202#I629#Intracranial haemorrhage (nontraumatic) unspecified,Binary
41202#I63#Cerebral infarction,Binary
41202#I630#Cerebral infarction due to thrombosis of precerebral arteries,Binary
41202#I632#Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Binary
